"date","state","previous_day_admission_influenza_confirmed","previous_day_admission_influenza_confirmed_coverage","previous_day_deaths_influenza","previous_day_deaths_influenza_coverage","previous_day_admission_adult_covid_confirmed","previous_day_admission_adult_covid_confirmed_coverage","previous_day_admission_pediatric_covid_confirmed","previous_day_admission_pediatric_covid_confirmed_coverage","deaths_covid","deaths_covid_coverage"
"2020-01-01","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-01","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-01","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-01","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-01","LA",,"0",,"0",,"0",,"0",,"0"
"2020-01-01","PR",,"0",,"0",,"0",,"0","0","1"
"2020-01-01","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-01","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-01","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-02","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-02","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-02","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-02","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-02","LA",,"0",,"0",,"0",,"0",,"0"
"2020-01-02","NV","1","59","0","59","132","59","0","59","29","59"
"2020-01-02","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-02","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-02","PR",,"0",,"0",,"0",,"0","0","1"
"2020-01-02","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-03","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-03","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-03","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-03","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-03","PR",,"0",,"0",,"0",,"0","0","1"
"2020-01-03","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-03","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-03","NV","1","59","0","59","132","59","0","59","29","59"
"2020-01-03","LA",,"0",,"0",,"0",,"0",,"0"
"2020-01-03","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-04","PR",,"0",,"0",,"0",,"0","0","1"
"2020-01-04","LA",,"0",,"0",,"0",,"0",,"0"
"2020-01-04","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-04","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-04","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-04","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-04","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-04","AR",,"0",,"0","0","1","0","1","0","1"
"2020-01-04","NV","1","59","0","59","132","59","0","59","29","59"
"2020-01-04","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-04","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","PR",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-05","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-05","LA",,"0",,"0",,"0",,"0",,"0"
"2020-01-05","NV","1","59","0","59","132","59","0","59","29","59"
"2020-01-05","AR",,"0",,"0","0","1","0","1","0","1"
"2020-01-06","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-06","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-06","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-06","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-06","NV","1","59","0","59","132","59","0","59","29","59"
"2020-01-06","AR",,"0",,"0","0","1","0","1","0","1"
"2020-01-06","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-06","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-06","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-07","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-07","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-07","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-07","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-07","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-07","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-07","AR",,"0",,"0","0","1","0","1","0","1"
"2020-01-07","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-08","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-08","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-08","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-08","AR",,"0",,"0","0","1","0","1","0","1"
"2020-01-08","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-08","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-08","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-08","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-09","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-09","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-09","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-09","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-09","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-09","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-09","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-10","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-10","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-10","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-10","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-10","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-10","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-10","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-11","IN",,"0",,"0",,"0",,"0","0","1"
"2020-01-11","MN",,"0",,"0",,"0",,"0","0","1"
"2020-01-11","TX",,"0",,"0",,"0",,"0","0","1"
"2020-01-11","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-11","NC",,"0",,"0",,"0",,"0","0","1"
"2020-01-11","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-11","HI",,"0",,"0",,"0",,"0","0","1"
"2020-01-12","MT",,"0",,"0",,"0",,"0","0","1"
"2020-01-12","AL",,"0",,"0",,"0",,"0",,"0"
"2020-01-12","MN",,"0",,"0",,"0",,"0","0","1"
